name,body_id,discovery_dt,decimal_year,helio_dist,perihdist,source_tier
C/1940 S1,174604,1940-10-04T00:00:00,1940.7568306010928,1.332300561171037,1.061768,first_obs_used
C/1940 O1,174605,1940-08-01T00:00:00,1940.5819672131147,1.5278860789741222,1.082228,first_obs_used
C/1940 R2,174606,1940-09-19T00:00:00,1940.7158469945355,2.3540209194799577,0.367751,first_obs_used
C/1941 B1,174607,1941-01-18T00:00:00,1941.0465753424658,0.94279232089513,0.941864,first_obs_used
C/1941 B2,174608,1941-01-30T18:56:13.056000,1941.0816138082191,0.7923465561087458,0.790033,obs
C/1941 K1,174609,1941-06-06T19:12:29.376000,1941.4295899726028,1.7329089705741423,0.874789,obs
C/1942 C1,174610,1942-02-17T21:48:16.128000,1942.131256219178,1.7637016254993174,1.445344078269943,obs
C/1942 C2,174611,1942-02-12T00:13:58.080000,1942.1150950684932,4.5367053698867075,4.113405017886291,obs
C/1942 X1,174612,1942-11-17T00:00:00,1942.876712328767,1.789854063497779,1.353647,first_obs_used
C/1943 W1,174613,1943-11-27T21:15:03.744000,1943.9065355068494,1.1914101647654345,0.8742522971463439,obs
C/1944 K2,174614,1944-06-01T16:57:31.104000,1944.4172311748634,2.2879006213965,2.225933,obs
C/1944 H1,174615,1944-04-18T21:24:48.672000,1944.2975197540984,3.655607874440153,2.411170700921862,obs
C/1945 L1,174616,1945-06-14T00:16:56.928000,1945.4493473150685,1.1054926865778472,0.998063,obs
C/1945 W1,174617,1945-11-24T00:00:00,1945.8958904109588,0.7506944953424673,0.19435,first_obs_used
C/1946 C1,174618,1946-02-02T00:00:00,1946.0876712328768,1.9500596792613494,1.724129,first_obs_used
C/1946 K1,174619,1946-06-05T01:32:30.336000,1946.4248335342465,1.1003554746257291,1.018412419910921,obs
C/1946 P1,174620,1946-08-13T03:28:19.488000,1946.6140949863013,1.6251179197900378,1.135979295928624,obs
C/1946 U1,174621,1946-11-02T22:11:53.952000,1946.8381504931506,2.631235733196128,2.407675371650016,obs
C/1947 F2,174622,1947-03-27T22:20:00.384000,1947.2354261917808,1.1542082642194371,0.961893288300247,obs
C/1947 F1,174623,1947-03-27T23:44:28.608000,1947.2355869041096,1.2490348978943377,0.559812431842614,obs
C/1947 K1,174624,1947-05-19T21:40:51.168000,1947.3805571780822,1.4123016327424895,1.40304624265441,obs
C/1947 O1,174625,1947-07-26T23:32:21.120000,1947.5670706849314,2.809833944248633,2.807880769807742,obs
C/1948 T1,174626,1948-10-07T04:43:36.480000,1948.7655654371586,4.894155026129943,3.268165417882285,obs
C/1947 V1,174627,1947-11-28T02:01:39.072000,1947.9070807671233,0.7794215225482156,0.7530447530400145,obs
C/1947 S1,174628,1947-10-04T02:15:57.888000,1947.7564230684932,2.375904587951717,0.7481298302601674,obs
C/1947 Y1,174629,1948-09-26T05:26:32.064000,1948.7355922404372,3.210947180840698,1.499709899604585,obs
C/1948 R1,174630,1948-09-04T00:00:00,1948.6748633879781,4.851649032331291,4.70838,first_obs_used
C/1948 L1,174631,1948-06-06T01:51:08.352000,1948.4291726229508,0.6926627676887953,0.206576729407629,obs
C/1948 E1,174632,1948-07-25T05:09:51.552000,1948.5634294535519,2.2608983209417355,2.107136377436629,obs
C/1948 W1,174633,1949-02-18T04:11:40.992000,1949.1319856986302,2.124707122213286,1.273428,obs
C/1948 V1,174634,1948-11-11T13:25:44.256000,1948.8621845355192,0.5681604615166602,0.1354393386439452,obs
C/1948 N1,174635,1948-07-15T09:53:53.952000,1948.5366459836066,3.913219237371215,2.517468047046625,obs
C/1949 N1,174636,1949-06-29T21:56:25.152000,1949.492915561644,2.4875463642961986,2.058249976986783,obs
C/1949 K1,174637,1949-06-19T03:05:04.992000,1949.4633658356165,3.3984021927555546,2.553078949130271,obs
C/1951 G2,174638,1950-06-12T03:29:45.024000,1950.4442346849314,3.6484693955764396,3.638503918436703,obs
C/1950 K1,174639,1950-05-27T10:07:59.808000,1950.4011567671232,3.5311336816448007,2.572331975014417,obs
C/1951 C1,174640,1951-02-05T12:35:47.040000,1951.0973283561643,0.729550696445877,0.7190609507128092,obs
C/1951 P1,174641,1951-08-07T05:51:44.928000,1951.5979295068494,2.6787187306184674,0.7403988330927667,obs
C/1952 H1,174642,1952-05-15T00:54:59.616000,1952.3689568032787,1.3353233973867904,1.282807246682241,obs
C/1952 M1,174643,1952-06-23T03:31:52.896000,1952.4758118579234,1.2506964626583736,1.201936503230722,obs
C/1952 Q1,174644,1952-09-25T03:55:03.936000,1952.7326864480874,2.1302174460320957,1.664987269250483,obs
C/1952 W1,174645,1952-12-13T12:50:29.184000,1952.9495493442623,1.1130378108033143,0.7777579139271542,obs
C/1953 G1,174646,1953-04-14T11:20:16.224000,1953.2834860547946,1.2392206339230138,1.022127349845494,obs
C/1954 M1,174647,1954-06-25T04:54:00.288000,1954.4800114246575,2.762915242138392,2.060901701859182,obs
C/1953 X1,174648,1953-12-05T04:51:48.096000,1953.9265825753425,1.4338521646567097,0.07230584172946862,obs
C/1955 G1,174649,1955-04-13T06:33:00.288000,1955.280199780822,5.44573552429504,4.496225959274523,obs
C/1954 O1,174650,1954-09-30T04:01:32.736000,1954.745665041096,2.245748438669453,0.7811835877776417,obs
C/1953 T1,174651,1953-10-16T11:32:00.384000,1953.79035769863,3.7942267139591563,0.9701847900581597,obs
C/1954 M2,174652,1954-06-30T05:37:59.808000,1954.4937937534246,1.3489026757510543,0.7463691020080301,obs
C/1955 L1,174653,1955-06-16T10:48:52.704000,1955.456029068493,0.605142442576388,0.5343685807239261,obs
C/1955 N1,174654,1955-07-16T09:55:08.256000,1955.5381186027398,1.429158711109771,1.427451643787483,obs
C/1955 O1,174655,1955-08-02T12:13:27.840000,1955.5849571232877,0.8850754086158602,0.8846152852414721,obs
C/1954 O2,174656,1954-08-12T04:25:43.392000,1954.6114644657534,4.975137978404089,3.869943951048865,obs
C/1954 Y1,174657,1955-01-13T04:18:06.336000,1955.033367780822,5.1591158334226686,4.076983995782628,obs
C/1956 E1,174658,1956-03-23T12:34:42.240000,1956.22547568306,0.9289507259494942,0.8422399999999999,obs
C/1956 R1,174659,1956-11-30T04:36:01.152000,1956.913092021858,2.5295783874330873,0.3160431518484373,obs
C/1957 P1,174660,1957-08-31T04:03:01.728000,1957.663476082192,0.8425439879315433,0.3549360736788535,obs
C/1957 U1,174661,1957-10-02T00:00:00,1957.7506849315068,1.4181061441462472,0.53913,first_obs_used
C/1958 D1,174662,1958-02-22T04:58:29.856000,1958.1430336712328,1.5373233856134485,1.322687360751788,obs
C/1958 R1,174663,1958-09-14T06:10:09.984000,1958.7020741369863,2.7869179118887204,1.628201741765237,obs
C/1959 O1,174664,1959-06-02T00:00:00,1959.4164383561645,1.4299003094079505,1.250534,first_obs_used
C/1959 Q1,174665,1959-08-29T03:10:39.360000,1959.6578969863015,1.165117275829573,1.150410166905681,obs
C/1960 B1,174666,1960-01-28T03:02:57.120000,1960.0741176229508,2.156511384963216,1.170776296902189,obs
C/1959 X1,174667,1959-12-04T12:57:10.944000,1959.9247663287672,1.2949946069670377,1.253241233083492,obs
C/1960 M1,174668,1960-06-23T05:40:25.824000,1960.4760557650272,4.562321012191641,4.267539644853636,obs
C/1959 Y1,174669,1960-01-04T01:36:48.672000,1960.008380409836,1.633782600134484,0.5044107473328405,obs
C/1961 O1,174670,1961-09-06T10:46:18.048000,1961.6806816986302,1.4723556285531698,0.04012543972804614,obs
C/1961 T1,174671,1961-10-15T12:16:43.104000,1961.787703041096,0.6885880517766996,0.6812019176544553,obs
C/1962 C1,174672,1962-02-10T04:49:55.776000,1962.1101406575342,1.4717904022487183,0.03139768508991173,obs
C/1962 H1,174673,1962-05-01T11:27:35.136000,1962.3300753150686,0.6952893022393251,0.6530851148458818,obs
C/1961 R1,174674,1961-09-06T09:00:52.704000,1961.6804811232876,5.220204773698029,2.133469730848697,obs
C/1963 A1,174675,1963-01-07T12:28:25.536000,1963.0178623013699,1.5315129418044877,0.6321397784270697,obs
C/1963 F1,174676,1963-03-20T11:05:44.448000,1963.214965260274,1.6646712309613958,1.537080421404611,obs
C/1963 R1,174677,1963-09-23T11:57:39.168000,1963.7273927945205,1.0678784402762465,0.005020925779721426,obs
C/1964 L1,174678,1964-06-11T10:25:46.848000,1964.4438103005464,0.6744516646417248,0.5003606378860337,obs
C/1964 N1,174679,1964-07-10T10:33:08.352000,1964.5230592349726,0.9167795433748873,0.8217416991326463,obs
C/1964 P1,174680,1964-08-08T04:36:01.152000,1964.6016166120219,1.2799772101268374,1.259278567330183,obs
C/1965 S2,174681,1965-09-27T19:55:31.008000,1965.7392608767123,1.3624204821590171,1.293958774951322,obs
C/1966 P2,174682,1966-08-19T23:50:01.248000,1966.6328577260274,2.498576132169016,2.018741250374431,obs
C/1966 R1,174683,1966-09-13T17:34:14.304000,1966.7006359178083,1.1288041010047838,0.8818332327890895,obs
C/1966 P1,174684,1966-08-09T04:33:40.320000,1966.603260410959,2.5436714888036063,2.384768843976003,obs
C/1966 T1,174685,1966-10-17T05:33:00,1966.7924143835617,1.9678277287382657,0.4192092682853801,obs
C/1967 C2,174686,1967-02-11T02:08:00.960000,1967.112572328767,1.358434962772019,1.327154232154989,obs
C/1967 C1,174687,1967-02-06T18:53:25.440000,1967.1007865753425,0.9337607926748704,0.457379768802979,obs
C/1967 M1,174688,1967-07-03T22:40:03.072000,1967.503957479452,0.6033337416321942,0.1782497333279935,obs
C/1967 Y1,174689,1967-12-29T19:36:30.528000,1967.9940192328768,1.858405537487379,1.696578645190065,obs
C/1968 U1,174690,1968-10-17T00:55:29.856000,1968.7924550273224,3.3341927401332603,2.603056943720637,obs
C/1968 H1,174691,1968-05-04T19:03:19.008000,1968.3409671311476,0.7207366763357225,0.6803765567918421,obs
C/1968 L1,174692,1968-06-17T04:39:59.616000,1968.4595476502732,1.2495138935754178,1.234006210401463,obs
C/1968 N1,174693,1968-07-13T00:05:30.048000,1968.5300650819672,1.2315024284196436,1.160438392435118,obs
C/1968 Q1,174694,1968-08-25T22:02:15.936000,1968.6500498360656,1.7723010823507934,1.771093642403217,obs
C/1968 Q2,174695,1968-09-12T11:38:54.240000,1968.6980474043717,1.383634173822821,1.099008155660729,obs
