# QE curve for Spectral Instruments (Fairchild CCD486) CCD fs01
# Wavelength(nm) QE(0..1.0)
300   0.179
350   0.635
400   0.640
450   0.677
500   0.721
550   0.810
600   0.861
650   0.899
700   0.910
750   0.890
800   0.809
850   0.717
900   0.583
950   0.404
1000   0.240
1050   0.097
1100   0.036
