ILDIALCT,ilab_v1,FITS/CSV file dialect
454.800,9.832030e-01,9.828091e-01
455.000,9.819728e-01,9.825860e-01
455.200,9.818490e-01,9.824359e-01
455.400,9.809958e-01,9.823663e-01
455.600,9.844209e-01,9.823728e-01
455.800,9.828449e-01,9.824432e-01
456.000,9.827588e-01,9.825630e-01
456.200,9.814054e-01,9.827195e-01
456.400,9.831263e-01,9.828998e-01
456.600,9.833865e-01,9.830923e-01
456.800,9.833866e-01,9.832847e-01
457.000,9.828345e-01,9.834631e-01
457.200,9.867319e-01,9.836118e-01
457.400,9.816201e-01,9.837234e-01
457.600,9.835674e-01,9.837961e-01
457.800,9.841477e-01,9.838383e-01
458.000,9.843034e-01,9.838631e-01
458.200,9.849558e-01,9.838849e-01
458.400,9.823038e-01,9.839141e-01
458.600,9.821110e-01,9.839561e-01
458.800,9.858109e-01,9.840109e-01
459.000,9.859206e-01,9.840784e-01
459.200,9.841551e-01,9.841550e-01
459.400,9.821351e-01,9.842364e-01
459.600,9.831637e-01,9.843143e-01
459.800,9.861684e-01,9.843793e-01
460.000,9.839104e-01,9.844178e-01
460.200,9.861753e-01,9.844173e-01
460.400,9.845891e-01,9.843682e-01
460.600,9.823790e-01,9.842714e-01
460.800,9.840716e-01,9.841284e-01
461.000,9.841288e-01,9.839475e-01
461.200,9.837176e-01,9.837396e-01
461.400,9.843202e-01,9.835171e-01
461.600,9.825546e-01,9.832955e-01
461.800,9.835004e-01,9.830897e-01
462.000,9.825925e-01,9.829189e-01
462.200,9.823341e-01,9.828050e-01
462.400,9.810552e-01,9.827646e-01
462.600,9.846047e-01,9.828073e-01
462.800,9.833919e-01,9.829336e-01
463.000,9.837911e-01,9.831289e-01
463.200,9.801625e-01,9.833704e-01
463.400,9.851449e-01,9.836235e-01
463.600,9.847196e-01,9.838543e-01
463.800,9.848415e-01,9.840328e-01
464.000,9.843504e-01,9.841408e-01
464.200,9.834034e-01,9.841755e-01
464.400,9.857966e-01,9.841488e-01
464.600,9.822844e-01,9.840833e-01
464.800,9.823961e-01,9.840072e-01
465.000,9.864048e-01,9.839442e-01
465.200,9.845687e-01,9.839127e-01
465.400,9.812004e-01,9.839198e-01
465.600,9.855121e-01,9.839655e-01
465.800,9.826313e-01,9.840435e-01
466.000,9.861273e-01,9.841453e-01
466.200,9.838574e-01,9.842567e-01
466.400,9.839975e-01,9.843620e-01
466.600,9.832460e-01,9.844438e-01
466.800,9.854791e-01,9.844889e-01
467.000,9.858764e-01,9.844891e-01
467.200,9.848757e-01,9.844418e-01
467.400,9.829650e-01,9.843538e-01
467.600,9.835387e-01,9.842335e-01
467.800,9.828485e-01,9.840964e-01
468.000,9.867094e-01,9.839546e-01
468.200,9.841751e-01,9.838196e-01
468.400,9.822257e-01,9.837022e-01
468.600,9.819690e-01,9.836116e-01
468.800,9.848484e-01,9.835541e-01
469.000,9.845042e-01,9.835337e-01
469.200,9.825810e-01,9.835471e-01
469.400,9.838346e-01,9.835868e-01
469.600,9.821520e-01,9.836380e-01
469.800,9.854327e-01,9.836879e-01
470.000,9.823278e-01,9.837263e-01
470.200,9.877873e-01,9.837512e-01
470.400,9.810515e-01,9.837652e-01
470.600,9.824300e-01,9.837718e-01
470.800,9.835889e-01,9.837677e-01
471.000,9.850109e-01,9.837438e-01
471.200,9.839317e-01,9.836818e-01
471.400,9.832492e-01,9.835702e-01
471.600,9.846499e-01,9.834080e-01
471.800,9.828036e-01,9.832105e-01
472.000,9.819601e-01,9.830085e-01
472.200,9.838781e-01,9.828412e-01
472.400,9.801410e-01,9.827376e-01
472.600,9.827226e-01,9.827086e-01
472.800,9.830888e-01,9.827401e-01
473.000,9.843659e-01,9.827992e-01
473.200,9.830591e-01,9.828492e-01
473.400,9.827881e-01,9.828620e-01
473.600,9.812353e-01,9.828330e-01
473.800,9.861013e-01,9.827792e-01
474.000,9.808910e-01,9.827357e-01
474.200,9.811760e-01,9.827410e-01
474.400,9.832940e-01,9.828236e-01
474.600,9.837875e-01,9.829875e-01
474.800,9.818034e-01,9.832085e-01
475.000,9.850732e-01,9.834450e-01
475.200,9.820626e-01,9.836494e-01
475.400,9.863212e-01,9.837835e-01
475.600,9.847011e-01,9.838368e-01
475.800,9.836450e-01,9.838248e-01
476.000,9.826133e-01,9.837864e-01
476.200,9.831172e-01,9.837639e-01
476.400,9.821839e-01,9.837866e-01
476.600,9.842785e-01,9.838577e-01
476.800,9.856955e-01,9.839534e-01
477.000,9.834172e-01,9.840311e-01
477.200,9.847137e-01,9.840487e-01
477.400,9.859877e-01,9.839764e-01
477.600,9.817688e-01,9.838116e-01
477.800,9.815174e-01,9.835771e-01
478.000,9.858950e-01,9.833157e-01
478.200,9.830645e-01,9.830773e-01
478.400,9.827000e-01,9.829054e-01
478.600,9.805502e-01,9.828223e-01
478.800,9.826396e-01,9.828305e-01
479.000,9.832714e-01,9.829142e-01
479.200,9.838844e-01,9.830498e-01
479.400,9.841565e-01,9.832195e-01
479.600,9.848036e-01,9.834145e-01
479.800,9.834413e-01,9.836342e-01
480.000,9.814630e-01,9.838809e-01
480.200,9.811401e-01,9.841439e-01
480.400,9.877352e-01,9.843935e-01
480.600,9.866244e-01,9.845914e-01
480.800,9.846073e-01,9.847015e-01
481.000,9.849039e-01,9.847039e-01
481.200,9.847845e-01,9.846085e-01
481.400,9.841278e-01,9.844520e-01
481.600,9.830291e-01,9.842791e-01
481.800,9.829409e-01,9.841282e-01
482.000,9.823189e-01,9.840131e-01
482.200,9.870917e-01,9.839272e-01
482.400,9.856036e-01,9.838522e-01
482.600,9.813242e-01,9.837759e-01
482.800,9.849182e-01,9.837024e-01
483.000,9.844010e-01,9.836509e-01
483.200,9.807125e-01,9.836442e-01
483.400,9.824027e-01,9.836917e-01
483.600,9.848473e-01,9.837819e-01
483.800,9.846229e-01,9.838866e-01
484.000,9.863287e-01,9.839685e-01
484.200,9.851868e-01,9.839966e-01
484.400,9.809558e-01,9.839576e-01
484.600,9.831136e-01,9.838574e-01
484.800,9.834223e-01,9.837157e-01
485.000,9.848031e-01,9.835587e-01
485.200,9.840678e-01,9.834084e-01
485.400,9.834774e-01,9.832802e-01
485.600,9.823201e-01,9.831852e-01
485.800,9.816297e-01,9.831245e-01
486.000,9.829496e-01,9.830913e-01
486.200,9.838978e-01,9.830767e-01
486.400,9.841031e-01,9.830685e-01
486.600,9.830810e-01,9.830547e-01
486.800,9.827929e-01,9.830300e-01
487.000,9.825606e-01,9.829958e-01
487.200,9.830500e-01,9.829589e-01
487.400,9.826408e-01,9.829289e-01
487.600,9.815634e-01,9.829133e-01
487.800,9.851404e-01,9.829146e-01
488.000,9.833629e-01,9.829323e-01
488.200,9.813968e-01,9.829647e-01
488.400,9.835590e-01,9.830097e-01
488.600,9.826959e-01,9.830647e-01
488.800,9.829452e-01,9.831241e-01
489.000,9.837126e-01,9.831794e-01
489.200,9.833198e-01,9.832213e-01
489.400,9.832929e-01,9.832438e-01
489.600,9.838317e-01,9.832484e-01
489.800,9.830596e-01,9.832452e-01
490.000,9.829797e-01,9.832511e-01
490.200,9.828522e-01,9.832841e-01
490.400,9.824415e-01,9.833547e-01
490.600,9.850236e-01,9.834572e-01
490.800,9.831079e-01,9.835710e-01
491.000,9.831845e-01,9.836639e-01
491.200,9.833507e-01,9.837070e-01
491.400,9.853867e-01,9.836841e-01
491.600,9.852170e-01,9.836006e-01
491.800,9.828326e-01,9.834844e-01
492.000,9.816124e-01,9.833715e-01
492.200,9.812781e-01,9.832934e-01
492.400,9.836617e-01,9.832655e-01
492.600,9.844698e-01,9.832769e-01
492.800,9.842652e-01,9.833028e-01
493.000,9.831816e-01,9.833132e-01
493.200,9.846169e-01,9.832919e-01
493.400,9.813694e-01,9.832429e-01
493.600,9.829530e-01,9.831906e-01
493.800,9.836807e-01,9.831713e-01
494.000,9.833295e-01,9.832183e-01
494.200,9.827679e-01,9.833433e-01
494.400,9.823300e-01,9.835315e-01
494.600,9.849612e-01,9.837452e-01
494.800,9.845073e-01,9.839392e-01
495.000,9.830800e-01,9.840754e-01
495.200,9.879984e-01,9.841385e-01
495.400,9.826499e-01,9.841443e-01
495.600,9.847824e-01,9.841304e-01
495.800,9.805908e-01,9.841436e-01
496.000,9.839891e-01,9.842153e-01
496.200,9.862925e-01,9.843489e-01
496.400,9.837976e-01,9.845155e-01
496.600,9.842098e-01,9.846668e-01
496.800,9.865580e-01,9.847521e-01
497.000,9.864475e-01,9.847389e-01
497.200,9.847670e-01,9.846236e-01
497.400,9.814819e-01,9.844294e-01
497.600,9.838163e-01,9.841929e-01
497.800,9.843201e-01,9.839519e-01
498.000,9.830818e-01,9.837364e-01
498.200,9.857240e-01,9.835661e-01
498.400,9.823290e-01,9.834537e-01
498.600,9.843652e-01,9.834126e-01
498.800,9.821352e-01,9.834496e-01
499.000,9.826026e-01,9.835679e-01
499.200,9.831406e-01,9.837565e-01
499.400,9.844475e-01,9.839913e-01
499.600,9.866624e-01,9.842392e-01
499.800,9.850665e-01,9.844631e-01
500.000,9.833173e-01,9.846345e-01
500.200,9.852057e-01,9.847374e-01
500.400,9.836955e-01,9.847664e-01
500.600,9.855064e-01,9.847237e-01
500.800,9.844086e-01,9.846143e-01
501.000,9.843818e-01,9.844480e-01
501.200,9.846405e-01,9.842435e-01
501.400,9.855857e-01,9.840292e-01
501.600,9.828971e-01,9.838413e-01
501.800,9.815712e-01,9.837141e-01
502.000,9.832364e-01,9.836703e-01
502.200,9.828958e-01,9.837088e-01
502.400,9.856099e-01,9.838065e-01
502.600,9.845746e-01,9.839260e-01
502.800,9.847767e-01,9.840284e-01
503.000,9.845386e-01,9.840884e-01
503.200,9.824578e-01,9.840995e-01
503.400,9.833959e-01,9.840732e-01
503.600,9.858146e-01,9.840339e-01
503.800,9.828239e-01,9.840070e-01
504.000,9.841107e-01,9.840143e-01
504.200,9.850696e-01,9.840670e-01
504.400,9.831486e-01,9.841635e-01
504.600,9.836778e-01,9.842880e-01
504.800,9.848691e-01,9.844136e-01
505.000,9.845261e-01,9.845025e-01
505.200,9.844039e-01,9.845157e-01
505.400,9.857921e-01,9.844251e-01
505.600,9.848362e-01,9.842249e-01
505.800,9.835398e-01,9.839386e-01
506.000,9.830517e-01,9.836138e-01
506.200,9.827729e-01,9.833091e-01
506.400,9.826142e-01,9.830727e-01
506.600,9.813824e-01,9.829249e-01
506.800,9.821294e-01,9.828540e-01
507.000,9.834915e-01,9.828237e-01
507.200,9.856412e-01,9.827939e-01
507.400,9.833421e-01,9.827452e-01
507.600,9.825565e-01,9.826882e-01
507.800,9.813277e-01,9.826590e-01
508.000,9.816601e-01,9.826988e-01
508.200,9.804996e-01,9.828290e-01
508.400,9.836154e-01,9.830362e-01
508.600,9.847769e-01,9.832698e-01
508.800,9.851187e-01,9.834682e-01
509.000,9.858927e-01,9.835821e-01
509.200,9.827992e-01,9.835978e-01
509.400,9.813474e-01,9.835428e-01
509.600,9.840487e-01,9.834729e-01
509.800,9.824023e-01,9.834441e-01
510.000,9.820291e-01,9.834871e-01
510.200,9.847820e-01,9.835928e-01
510.400,9.838679e-01,9.837223e-01
510.600,9.851024e-01,9.838256e-01
510.800,9.854346e-01,9.838663e-01
511.000,9.825038e-01,9.838384e-01
511.200,9.854527e-01,9.837669e-01
511.400,9.805766e-01,9.836959e-01
511.600,9.822190e-01,9.836693e-01
511.800,9.847713e-01,9.837118e-01
512.000,9.855719e-01,9.838230e-01
512.200,9.840339e-01,9.839786e-01
512.400,9.836574e-01,9.841412e-01
512.600,9.830051e-01,9.842719e-01
512.800,9.862953e-01,9.843420e-01
513.000,9.838048e-01,9.843398e-01
513.200,9.853842e-01,9.842662e-01
513.400,9.828911e-01,9.841352e-01
513.600,9.837267e-01,9.839718e-01
513.800,9.843905e-01,9.838049e-01
514.000,9.838570e-01,9.836634e-01
514.200,9.820462e-01,9.835713e-01
514.400,9.847507e-01,9.835398e-01
514.600,9.819151e-01,9.835647e-01
514.800,9.833369e-01,9.836257e-01
515.000,9.852516e-01,9.836945e-01
515.200,9.849252e-01,9.837420e-01
515.400,9.834433e-01,9.837513e-01
515.600,9.823627e-01,9.837227e-01
515.800,9.845134e-01,9.836800e-01
516.000,9.841734e-01,9.836622e-01
516.200,9.829998e-01,9.837158e-01
516.400,9.837337e-01,9.838738e-01
516.600,9.839993e-01,9.841433e-01
516.800,9.825376e-01,9.844952e-01
517.000,9.843569e-01,9.848676e-01
517.200,9.889123e-01,9.851819e-01
517.400,9.860165e-01,9.853631e-01
517.600,9.855652e-01,9.853605e-01
517.800,9.861377e-01,9.851638e-01
518.000,9.827406e-01,9.848023e-01
518.200,9.840347e-01,9.843369e-01
518.400,9.822149e-01,9.838434e-01
518.600,9.851332e-01,9.833952e-01
518.800,9.828183e-01,9.830499e-01
519.000,9.822879e-01,9.828439e-01
519.200,9.818016e-01,9.827883e-01
519.400,9.813253e-01,9.828723e-01
519.600,9.848222e-01,9.830680e-01
519.800,9.836354e-01,9.833368e-01
520.000,9.842918e-01,9.836344e-01
520.200,9.842997e-01,9.839198e-01
520.400,9.844019e-01,9.841600e-01
520.600,9.828907e-01,9.843374e-01
520.800,9.848107e-01,9.844495e-01
521.000,9.862071e-01,9.845062e-01
521.200,9.854352e-01,9.845258e-01
521.400,9.836003e-01,9.845253e-01
521.600,9.808102e-01,9.845186e-01
521.800,9.864174e-01,9.845076e-01
522.000,9.857440e-01,9.844901e-01
522.200,9.847113e-01,9.844560e-01
522.400,9.842216e-01,9.843970e-01
522.600,9.849277e-01,9.843087e-01
522.800,9.813831e-01,9.841919e-01
523.000,9.853209e-01,9.840592e-01
523.200,9.851817e-01,9.839270e-01
523.400,9.823684e-01,9.838198e-01
523.600,9.844790e-01,9.837663e-01
523.800,9.841937e-01,9.837908e-01
524.000,9.833665e-01,9.839065e-01
524.200,9.817197e-01,9.841037e-01
524.400,9.857842e-01,9.843433e-01
524.600,9.829361e-01,9.845643e-01
524.800,9.875298e-01,9.847004e-01
525.000,9.858925e-01,9.847011e-01
525.200,9.859339e-01,9.845553e-01
525.400,9.848153e-01,9.842982e-01
525.600,9.793699e-01,9.840012e-01
525.800,9.842145e-01,9.837470e-01
526.000,9.828572e-01,9.836000e-01
526.200,9.831492e-01,9.835796e-01
526.400,9.855558e-01,9.836604e-01
526.600,9.815124e-01,9.837858e-01
526.800,9.850975e-01,9.838936e-01
527.000,9.881144e-01,9.839451e-01
527.200,9.843263e-01,9.839401e-01
527.400,9.799148e-01,9.839124e-01
527.600,9.819273e-01,9.839124e-01
527.800,9.854976e-01,9.839858e-01
528.000,9.844335e-01,9.841479e-01
528.200,9.851060e-01,9.843843e-01
528.400,9.850473e-01,9.846512e-01
528.600,9.839290e-01,9.848915e-01
528.800,9.857457e-01,9.850527e-01
529.000,9.864573e-01,9.851005e-01
529.200,9.842160e-01,9.850300e-01
529.400,9.846491e-01,9.848641e-01
529.600,9.863231e-01,9.846464e-01
529.800,9.828405e-01,9.844289e-01
530.000,9.839322e-01,9.842559e-01
530.200,9.824155e-01,9.841554e-01
530.400,9.834093e-01,9.841343e-01
530.600,9.871076e-01,9.841737e-01
530.800,9.839915e-01,9.842416e-01
531.000,9.836022e-01,9.843067e-01
531.200,9.850866e-01,9.843479e-01
531.400,9.844854e-01,9.843590e-01
531.600,9.836712e-01,9.843470e-01
531.800,9.852393e-01,9.843236e-01
532.000,9.826331e-01,9.842986e-01
532.200,9.836259e-01,9.842788e-01
532.400,9.860469e-01,9.842688e-01
532.600,9.852821e-01,9.842703e-01
532.800,9.848183e-01,9.842890e-01
533.000,9.814276e-01,9.843281e-01
533.200,9.848437e-01,9.843846e-01
533.400,9.835433e-01,9.844475e-01
533.600,9.850924e-01,9.844960e-01
533.800,9.868212e-01,9.845137e-01
534.000,9.847254e-01,9.844991e-01
534.200,9.839916e-01,9.844681e-01
534.400,9.844168e-01,9.844502e-01
534.600,9.834760e-01,9.844755e-01
534.800,9.827046e-01,9.845549e-01
535.000,9.827880e-01,9.846712e-01
535.200,9.884467e-01,9.847862e-01
535.400,9.859477e-01,9.848548e-01
535.600,9.882093e-01,9.848507e-01
535.800,9.825604e-01,9.847801e-01
536.000,9.810840e-01,9.846791e-01
536.200,9.854155e-01,9.846004e-01
536.400,9.842252e-01,9.845879e-01
536.600,9.848268e-01,9.846594e-01
536.800,9.854903e-01,9.847982e-01
537.000,9.854982e-01,9.849636e-01
537.200,9.846061e-01,9.851063e-01
537.400,9.858839e-01,9.851868e-01
537.600,9.860032e-01,9.851877e-01
537.800,9.846529e-01,9.851149e-01
538.000,9.845647e-01,9.849918e-01
538.200,9.836738e-01,9.848492e-01
538.400,9.847385e-01,9.847204e-01
538.600,9.869926e-01,9.846333e-01
538.800,9.838097e-01,9.846030e-01
539.000,9.828619e-01,9.846325e-01
539.200,9.847192e-01,9.847044e-01
539.400,9.844313e-01,9.847907e-01
539.600,9.847178e-01,9.848641e-01
539.800,9.882764e-01,9.849075e-01
540.000,9.854934e-01,9.849245e-01
540.200,9.838953e-01,9.849409e-01
540.400,9.834325e-01,9.849905e-01
540.600,9.832095e-01,9.850948e-01
540.800,9.860808e-01,9.852468e-01
541.000,9.840770e-01,9.854048e-01
541.200,9.884652e-01,9.855051e-01
541.400,9.872187e-01,9.854886e-01
541.600,9.849184e-01,9.853291e-01
541.800,9.865044e-01,9.850496e-01
542.000,9.830744e-01,9.847178e-01
542.200,9.816871e-01,9.844201e-01
542.400,9.828603e-01,9.842299e-01
542.600,9.849954e-01,9.841804e-01
542.800,9.844652e-01,9.842562e-01
543.000,9.856787e-01,9.844038e-01
543.200,9.853745e-01,9.845613e-01
543.400,9.853566e-01,9.846778e-01
543.600,9.840493e-01,9.847341e-01
543.800,9.843870e-01,9.847459e-01
544.000,9.847004e-01,9.847502e-01
544.200,9.839304e-01,9.847892e-01
544.400,9.855214e-01,9.848899e-01
544.600,9.853436e-01,9.850624e-01
544.800,9.845438e-01,9.852895e-01
545.000,9.852764e-01,9.855391e-01
545.200,9.871622e-01,9.857724e-01
545.400,9.864268e-01,9.859496e-01
545.600,9.863344e-01,9.860419e-01
545.800,9.835626e-01,9.860339e-01
546.000,9.883629e-01,9.859277e-01
546.200,9.869849e-01,9.857432e-01
546.400,9.839579e-01,9.855118e-01
546.600,9.841342e-01,9.852697e-01
546.800,9.846647e-01,9.850520e-01
547.000,9.857434e-01,9.848883e-01
547.200,9.828432e-01,9.847961e-01
547.400,9.884869e-01,9.847805e-01
547.600,9.827747e-01,9.848326e-01
547.800,9.838372e-01,9.849357e-01
548.000,9.853899e-01,9.850670e-01
548.200,9.845023e-01,9.852048e-01
548.400,9.883200e-01,9.853339e-01
548.600,9.872941e-01,9.854501e-01
548.800,9.819180e-01,9.855605e-01
549.000,9.848797e-01,9.856768e-01
549.200,9.869362e-01,9.858070e-01
549.400,9.870167e-01,9.859512e-01
549.600,9.842214e-01,9.860959e-01
549.800,9.875745e-01,9.862173e-01
550.000,9.865353e-01,9.862894e-01
550.200,9.876150e-01,9.862919e-01
550.400,9.850565e-01,9.862209e-01
550.600,9.857146e-01,9.860907e-01
550.800,9.851533e-01,9.859333e-01
551.000,9.872117e-01,9.857876e-01
551.200,9.868761e-01,9.856929e-01
551.400,9.828744e-01,9.856758e-01
551.600,9.849987e-01,9.857427e-01
551.800,9.854147e-01,9.858773e-01
552.000,9.878004e-01,9.860432e-01
552.200,9.876910e-01,9.861942e-01
552.400,9.853719e-01,9.862885e-01
552.600,9.859709e-01,9.862995e-01
552.800,9.881628e-01,9.862202e-01
553.000,9.847381e-01,9.860648e-01
553.200,9.836617e-01,9.858623e-01
553.400,9.879073e-01,9.856492e-01
553.600,9.856237e-01,9.854594e-01
553.800,9.845358e-01,9.853134e-01
554.000,9.846623e-01,9.852210e-01
554.200,9.832422e-01,9.851808e-01
554.400,9.873824e-01,9.851829e-01
554.600,9.869024e-01,9.852150e-01
554.800,9.837831e-01,9.852688e-01
555.000,9.847206e-01,9.853416e-01
555.200,9.852771e-01,9.854441e-01
555.400,9.873194e-01,9.855931e-01
555.600,9.849113e-01,9.858053e-01
555.800,9.877741e-01,9.860846e-01
556.000,9.826968e-01,9.864165e-01
556.200,9.860747e-01,9.867717e-01
556.400,9.908251e-01,9.871014e-01
556.600,9.889617e-01,9.873590e-01
556.800,9.861512e-01,9.875119e-01
557.000,9.885836e-01,9.875495e-01
557.200,9.863584e-01,9.874872e-01
557.400,9.848841e-01,9.873580e-01
557.600,9.915226e-01,9.872003e-01
557.800,9.847046e-01,9.870468e-01
558.000,9.862670e-01,9.869116e-01
558.200,9.853531e-01,9.867895e-01
558.400,9.885083e-01,9.866665e-01
558.600,9.886785e-01,9.865284e-01
558.800,9.828867e-01,9.863721e-01
559.000,9.893665e-01,9.862088e-01
559.200,9.837703e-01,9.860639e-01
559.400,9.859393e-01,9.859640e-01
559.600,9.854044e-01,9.859309e-01
559.800,9.855415e-01,9.859709e-01
560.000,9.875649e-01,9.860687e-01
560.200,9.853926e-01,9.861940e-01
560.400,9.861101e-01,9.863127e-01
560.600,9.874832e-01,9.863953e-01
560.800,9.881036e-01,9.864259e-01
561.000,9.846724e-01,9.864097e-01
561.200,9.857045e-01,9.863611e-01
561.400,9.863461e-01,9.863050e-01
561.600,9.866026e-01,9.862625e-01
561.800,9.869698e-01,9.862484e-01
562.000,9.859561e-01,9.862652e-01
562.200,9.846458e-01,9.863004e-01
562.400,9.864730e-01,9.863422e-01
562.600,9.881954e-01,9.863741e-01
562.800,9.868593e-01,9.863876e-01
563.000,9.863808e-01,9.863825e-01
563.200,9.851277e-01,9.863660e-01
563.400,9.858167e-01,9.863520e-01
563.600,9.860768e-01,9.863575e-01
563.800,9.883756e-01,9.863999e-01
564.000,9.860303e-01,9.864948e-01
564.200,9.872282e-01,9.866529e-01
564.400,9.848836e-01,9.868735e-01
564.600,9.868392e-01,9.871444e-01
564.800,9.892442e-01,9.874350e-01
565.000,9.862410e-01,9.877026e-01
565.200,9.894191e-01,9.879012e-01
565.400,9.889368e-01,9.879943e-01
565.600,9.878838e-01,9.879638e-01
565.800,9.886904e-01,9.878215e-01
566.000,9.873919e-01,9.876049e-01
566.200,9.847406e-01,9.873656e-01
566.400,9.865757e-01,9.871580e-01
566.600,9.883337e-01,9.870271e-01
566.800,9.877468e-01,9.870004e-01
567.000,9.874710e-01,9.870823e-01
567.200,9.838833e-01,9.872501e-01
567.400,9.887703e-01,9.874596e-01
567.600,9.876806e-01,9.876490e-01
567.800,9.884763e-01,9.877488e-01
568.000,9.875965e-01,9.877020e-01
568.200,9.911452e-01,9.874788e-01
568.400,9.856375e-01,9.870904e-01
568.600,9.848952e-01,9.865969e-01
568.800,9.861462e-01,9.860895e-01
569.000,9.862215e-01,9.856711e-01
569.200,9.838330e-01,9.854298e-01
569.400,9.832180e-01,9.854116e-01
569.600,9.842924e-01,9.856121e-01
569.800,9.901751e-01,9.859838e-01
570.000,9.858219e-01,9.864525e-01
570.200,9.879984e-01,9.869418e-01
570.400,9.882028e-01,9.873909e-01
570.600,9.862939e-01,9.877586e-01
570.800,9.894896e-01,9.880263e-01
571.000,9.874108e-01,9.881862e-01
571.200,9.863427e-01,9.882377e-01
571.400,9.910685e-01,9.881847e-01
571.600,9.895124e-01,9.880449e-01
571.800,9.869162e-01,9.878466e-01
572.000,9.872596e-01,9.876343e-01
572.200,9.856341e-01,9.874625e-01
572.400,9.858951e-01,9.873784e-01
572.600,9.895270e-01,9.874149e-01
572.800,9.875600e-01,9.875768e-01
573.000,9.870291e-01,9.878424e-01
573.200,9.888138e-01,9.881702e-01
573.400,9.887495e-01,9.885039e-01
573.600,9.889791e-01,9.887866e-01
573.800,9.884193e-01,9.889710e-01
574.000,9.908846e-01,9.890259e-01
574.200,9.882941e-01,9.889518e-01
574.400,9.904913e-01,9.887721e-01
574.600,9.880038e-01,9.885346e-01
574.800,9.858187e-01,9.883018e-01
575.000,9.895475e-01,9.881308e-01
575.200,9.846615e-01,9.880583e-01
575.400,9.897184e-01,9.880914e-01
575.600,9.892440e-01,9.882049e-01
575.800,9.888213e-01,9.883519e-01
576.000,9.874259e-01,9.884778e-01
576.200,9.885740e-01,9.885355e-01
576.400,9.893884e-01,9.885047e-01
576.600,9.912051e-01,9.883939e-01
576.800,9.842550e-01,9.882360e-01
577.000,9.900640e-01,9.880780e-01
577.200,9.865067e-01,9.879654e-01
577.400,9.867800e-01,9.879275e-01
577.600,9.878870e-01,9.879684e-01
577.800,9.890793e-01,9.880685e-01
578.000,9.893794e-01,9.881953e-01
578.200,9.884155e-01,9.883133e-01
578.400,9.865355e-01,9.884025e-01
578.600,9.903014e-01,9.884562e-01
578.800,9.902172e-01,9.884880e-01
579.000,9.852667e-01,9.885201e-01
579.200,9.878301e-01,9.885710e-01
579.400,9.902799e-01,9.886462e-01
579.600,9.893613e-01,9.887397e-01
579.800,9.878479e-01,9.888336e-01
580.000,9.894463e-01,9.889094e-01
580.200,9.887953e-01,9.889491e-01
580.400,9.912130e-01,9.889480e-01
580.600,9.862432e-01,9.889112e-01
580.800,9.891156e-01,9.888536e-01
581.000,9.880487e-01,9.887947e-01
581.200,9.908854e-01,9.887542e-01
581.400,9.891230e-01,9.887474e-01
581.600,9.861670e-01,9.887794e-01
581.800,9.885452e-01,9.888436e-01
582.000,9.903089e-01,9.889223e-01
582.200,9.883899e-01,9.889917e-01
582.400,9.903851e-01,9.890248e-01
582.600,9.883556e-01,9.890052e-01
582.800,9.897541e-01,9.889292e-01
583.000,9.894741e-01,9.888068e-01
583.200,9.869989e-01,9.886569e-01
583.400,9.868035e-01,9.885020e-01
583.600,9.892727e-01,9.883639e-01
583.800,9.898505e-01,9.882614e-01
584.000,9.882473e-01,9.882079e-01
584.200,9.882320e-01,9.882149e-01
584.400,9.859989e-01,9.882888e-01
584.600,9.891784e-01,9.884295e-01
584.800,9.877291e-01,9.886243e-01
585.000,9.904248e-01,9.888470e-01
585.200,9.892185e-01,9.890641e-01
585.400,9.902416e-01,9.892405e-01
585.600,9.885561e-01,9.893463e-01
585.800,9.889163e-01,9.893670e-01
586.000,9.905970e-01,9.893030e-01
586.200,9.886001e-01,9.891709e-01
586.400,9.890014e-01,9.889973e-01
586.600,9.884391e-01,9.888139e-01
586.800,9.886830e-01,9.886530e-01
587.000,9.884179e-01,9.885452e-01
587.200,9.879208e-01,9.885125e-01
587.400,9.890479e-01,9.885666e-01
587.600,9.884878e-01,9.887015e-01
587.800,9.881503e-01,9.888939e-01
588.000,9.887818e-01,9.891083e-01
588.200,9.909543e-01,9.893041e-01
588.400,9.899780e-01,9.894470e-01
588.600,9.901803e-01,9.895182e-01
588.800,9.889392e-01,9.895214e-01
589.000,9.893612e-01,9.894788e-01
589.200,9.885450e-01,9.894207e-01
589.400,9.893016e-01,9.893765e-01
589.600,9.893815e-01,9.893597e-01
589.800,9.900641e-01,9.893662e-01
590.000,9.874926e-01,9.893767e-01
590.200,9.910547e-01,9.893665e-01
590.400,9.901642e-01,9.893176e-01
590.600,9.897115e-01,9.892282e-01
590.800,9.870266e-01,9.891144e-01
591.000,9.899618e-01,9.890052e-01
591.200,9.886290e-01,9.889319e-01
591.400,9.883731e-01,9.889184e-01
591.600,9.878473e-01,9.889740e-01
591.800,9.908599e-01,9.890903e-01
592.000,9.886646e-01,9.892471e-01
592.200,9.901173e-01,9.894202e-01
592.400,9.898766e-01,9.895873e-01
592.600,9.891901e-01,9.897326e-01
592.800,9.902778e-01,9.898454e-01
593.000,9.896743e-01,9.899199e-01
593.200,9.892275e-01,9.899520e-01
593.400,9.910452e-01,9.899411e-01
593.600,9.902852e-01,9.898927e-01
593.800,9.903605e-01,9.898185e-01
594.000,9.889247e-01,9.897373e-01
594.200,9.881945e-01,9.896688e-01
