ILDIALCT,ilab_v1,FITS/CSV file dialect
216.400,6.114430e-05,5.914547e-05
216.600,5.709963e-05,5.956604e-05
216.800,5.592258e-05,6.019184e-05
217.000,6.236213e-05,6.101179e-05
217.200,6.148109e-05,6.196478e-05
217.400,6.456719e-05,6.293806e-05
217.600,6.888948e-05,6.380540e-05
217.800,6.251658e-05,6.446559e-05
218.000,6.996258e-05,6.487319e-05
218.200,6.114376e-05,6.504907e-05
218.400,6.429123e-05,6.506812e-05
218.600,6.511852e-05,6.503357e-05
218.800,6.465437e-05,6.503169e-05
219.000,6.289877e-05,6.510962e-05
219.200,6.682248e-05,6.527067e-05
219.400,6.618220e-05,6.549218e-05
219.600,6.938859e-05,6.574248e-05
219.800,6.389918e-05,6.600250e-05
220.000,6.440901e-05,6.626692e-05
220.200,6.826131e-05,6.654526e-05
220.400,6.390500e-05,6.685641e-05
220.600,6.812243e-05,6.720944e-05
220.800,7.230646e-05,6.760504e-05
221.000,7.035915e-05,6.803260e-05
221.200,6.013847e-05,6.847126e-05
221.400,6.985404e-05,6.889633e-05
221.600,7.162685e-05,6.928649e-05
221.800,7.304993e-05,6.963661e-05
222.000,6.954739e-05,6.995994e-05
222.200,7.179731e-05,7.029199e-05
222.400,6.651372e-05,7.066733e-05
222.600,7.116513e-05,7.111352e-05
222.800,7.058493e-05,7.162343e-05
223.000,7.090596e-05,7.215307e-05
223.200,7.792211e-05,7.262624e-05
223.400,7.519067e-05,7.296093e-05
223.600,7.293228e-05,7.309920e-05
223.800,6.811809e-05,7.303034e-05
224.000,7.677866e-05,7.280402e-05
224.200,7.112326e-05,7.251657e-05
224.400,7.326761e-05,7.227947e-05
224.600,7.261419e-05,7.217717e-05
224.800,6.481173e-05,7.224404e-05
225.000,7.534033e-05,7.244554e-05
225.200,7.067341e-05,7.269435e-05
225.400,7.792331e-05,7.288327e-05
225.600,7.690936e-05,7.293121e-05
225.800,7.229471e-05,7.280305e-05
226.000,6.989547e-05,7.253414e-05
226.200,7.044742e-05,7.221173e-05
226.400,6.939728e-05,7.194350e-05
226.600,7.254717e-05,7.182304e-05
226.800,7.483520e-05,7.189931e-05
227.000,7.194109e-05,7.216657e-05
227.200,6.974438e-05,7.256028e-05
227.400,7.220880e-05,7.298461e-05
227.600,7.549559e-05,7.332449e-05
227.800,7.600467e-05,7.347943e-05
228.000,7.332089e-05,7.338271e-05
228.200,7.060089e-05,7.302010e-05
228.400,7.815594e-05,7.243733e-05
228.600,7.025918e-05,7.172921e-05
228.800,6.600151e-05,7.102329e-05
229.000,6.793487e-05,7.044688e-05
229.200,7.287257e-05,7.009428e-05
229.400,7.063222e-05,7.000714e-05
229.600,6.715404e-05,7.016772e-05
229.800,7.234649e-05,7.050607e-05
230.000,6.996596e-05,7.092238e-05
230.200,7.285897e-05,7.131175e-05
230.400,7.284297e-05,7.158841e-05
230.600,7.375001e-05,7.170302e-05
230.800,6.805933e-05,7.165434e-05
231.000,7.501816e-05,7.148425e-05
231.200,6.929000e-05,7.125826e-05
231.400,7.039330e-05,7.104875e-05
231.600,6.863980e-05,7.090661e-05
231.800,7.145114e-05,7.085156e-05
232.000,7.181379e-05,7.084923e-05
232.200,7.096632e-05,7.082605e-05
232.400,6.960270e-05,7.069440e-05
232.600,7.038688e-05,7.038079e-05
232.800,7.237564e-05,6.986127e-05
233.000,7.100256e-05,6.917664e-05
233.200,6.950846e-05,6.843318e-05
233.400,6.330859e-05,6.776889e-05
233.600,6.194850e-05,6.731055e-05
233.800,6.818019e-05,6.712530e-05
234.000,6.576677e-05,6.720141e-05
234.200,7.076301e-05,6.744364e-05
234.400,6.780134e-05,6.771417e-05
234.600,7.221879e-05,6.786911e-05
234.800,6.716842e-05,6.781027e-05
235.000,6.375495e-05,6.750725e-05
