    741 Botolphia         -          X      S   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    742 Edisona           -          S      2G  -  -  -   -  -      -   -   -   K   s   -   -   K   a  -                     
    743 Eugenisis         -          -      -   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    744 Aguntina          -          FX:    2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    746 Marlu             -          P      7G  C0 7I PC  2I -      -   -   -   -   -   C   X   -   -  -                     
    747 Winchester        -          PC     2G  -  -  -   -  -      -   -   -   C   s   B   B   -   -  -                     
    748 Simeisa           -          P      7G  C0 7I P   2I -      -   -   -   -   -   -   -   -   -  -                     
    749 Malzovia          -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    750 Oskar             -          F      7G  B1 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    751 Faina             -          C      7   C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    752 Sulamitis         -          -      -   -  -  -   -  -      -   X   s   -   -   Caa Ch  -   -  -                     
    753 Tiflis            -          S      2   -  -  -   -  -      -   -   -   L   s   A   L   -   -  -                     
    754 Malabar           -          XC     2   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    755 Quintilla         -          M      7G  M0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    756 Lilliana          -          -      -   -  -  -   -  -      -   -   -   -   -   D   T   -   -  -                     
    757 Portlandia        -          XF     7   M0 7I M   2I -      -   -   -   Xk  s   -   -   -   -  -                     
    758 Mancunia          -          X      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    759 Vinifera          -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    760 Massinga          -          SU     2   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    761 Brendelia         -          SC     7   -  -  -   -  -      -   -   -   -   -   S   S   -   -  -                     
    762 Pulcova           -          F      7   C0 7I CF  2I B+F    65  -   -   -   -   C   Cb  -   -  -                     
    764 Gedania           -          C      2   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    766 Moguntia          -          MU     1G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    767 Bondia            -          -      -   -  -  -   -  -      -   -   -   B   s   -   -   -   -  -                     
    768 Struveana         -          X      7   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    770 Bali              -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    771 Libera            -          X      7   M0 7I M   2I -      -   -   -   X   s   -   -   -   -  -                     
    772 Tanete            -          C      7   C0 7I C   2I Cx     65  -   -   -   -   C   Cb  -   -  -                     
    773 Irmintraud        -          D      7G  D0 7I D   2I D      65  -   -   T   s   -   -   T   a  -                     
    774 Armor             -          -      -   -  -  -   -  -      -   S   s   -   -   -   -   -   -  -                     
    775 Lumiere           -          S      7   S0 7I -   -  -      -   -   -   -   -   T   D   -   -  -                     
    776 Berbericia        -          C      7   -  -  -   -  -      -   -   -   Cgh s   -   -   Cgh a  -                     
    777 Gutemberga        -          -      -   -  -  -   -  -      -   -   -   -   -   C   Cb  -   -  -                     
    778 Theobalda         -          F      7G  C0 7I F   2I -      -   -   -   -   -   C   C   -   -  -                     
    779 Nina              -          -      -   -  -  -   -  -      -   -   -   X   s   X   X   -   -  -                     
    780 Armenia           -          -      -   -  -  -   -  -      -   -   -   -   -   C   C   -   -  -                     
    781 Kartvelia         -          CPU:   S   -  -  -   -  -      -   -   -   Xc  s   -   -   -   -  -                     
    782 Montefiore        -          S      S   -  -  -   -  -      -   -   -   Sl  s   -   -   Sw  a  -                     
    783 Nora              -          ***    S   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    784 Pickeringia       -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    785 Zwetana           -          M      7G  B2 7I m   2I -      -   -   -   Cb  s   -   -   Cb  a  -                     
    786 Bredichina        -          C      7   C0 7I C   2I -      -   -   -   -   -   -   -   -   -  -                     
    787 Moskva            -          -      -   -  -  -   -  -      -   S   s   -   -   -   -   -   -  -                     
    788 Hohensteina       -          -      -   -  -  -   -  -      -   C   s   -   -   Caa Ch  -   -  -                     
    789 Lena              -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   Xk  a  -                     
    790 Pretoria          -          P      7G  C0 7I PC  2I -      -   -   -   -   -   X   X   -   -  -                     
    791 Ani               -          C      7   C0 7I C   2I -      -   -   -   -   -   C   Ch  -   -  -                     
    792 Metcalfia         -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    793 Arizona           -          DU:    1   -  -  -   -  -      -   -   -   S   s   -   -   S   a  -                     
    795 Fini              -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    796 Sarita            -          XD     2   -  -  -   -  -      -   -   -   X   s   X   X   -   -  -                     
    797 Montana           -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    798 Ruth              -          M      4G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    800 Kressmannia       -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    801 Helwerthia        -          XC     7   C0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    803 Picka             -          -      -   -  -  -   -  -      -   TD  s   -   -   -   -   -   -  -                     
    804 Hispania          -          PC     7G  C0 7I C   2I -      -   -   -   C   s   C   C   -   -  -                     
    805 Hormuthia         -          CX     7   C0 7I C   2I -      -   -   -   -   -   -   -   -   -  -                     
    807 Ceraskia          -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    808 Merxia            -          -      -   -  -  -   -  -      -   S   s   Sq  s   S   Sq  Sr  a  -                     
    809 Lundia            -          -      -   -  -  -   -  -      -   -   -   -   -   V   V   -   -  -                     
    811 Nauheima          -          S      7   S0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    813 Baumeia           -          -      -   -  -  -   -  -      -   S   s   -   -   -   -   -   -  -                     
    814 Tauris            -          C      2   -  -  -   -  -      -   -   -   C   s   X   X   -   -  -                     
    815 Coppelia          -          -      -   -  -  -   -  -      -   -   -   Xe  s   X   Xk  -   -  -                     
    816 Juliana           -          -      -   -  -  -   -  -      -   -   -   -   -   X   Xc  -   -  -                     
    817 Annika            -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    819 Barnardiana       -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    821 Fanny             -          C      7   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    822 Lalage            -          DXCU   1   -  -  -   -  -      -   -   -   -   -   A   Sl  -   -  -                     
    824 Anastasia         -          S      2   -  -  -   -  -      -   -   -   L   s   -   -   L   a  -                     
    825 Tanina            -          SR     2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    826 Henrika           -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    828 Lindemannia       -          XFU    1   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    829 Academia          -          -      -   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    830 Petropolitana     -          S      2G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    832 Karin             -          -      -   -  -  -   -  -      -   -   -   -   -   -   -   S   e  -                     
    834 Burnhamia         -          GS:    2   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    838 Seraphina         -          P      7G  C0 7I PC  2I -      -   -   -   -   -   X   X   -   -  -                     
    839 Valborg           -          S      S   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    844 Leontina          -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    845 Naema             -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    846 Lipperta          -          CBU:   2   -  -  -   -  -      -   -   -   -   -   C   C   -   -  -                     
    847 Agnia             -          S      2   -  -  -   -  -      -   -   -   S   s   S   S   S   a  -                     
    848 Inna              -          -      -   -  -  -   -  -      -   -   -   -   -   C   Cb  -   -  -                     
    849 Ara               -          M      7G  -  -  -   -  M      65  -   -   -   -   -   -   -   -  -                     
    850 Altona            -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    851 Zeissia           -          S      7   S0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    853 Nansenia          -          XD     2   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    856 Backlunda         -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    857 Glasenappia       -          MU     2G  -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    858 El Djezair        -          S      S   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    859 Bouzareah         -          -      -   -  -  -   -  -      -   -   -   -   -   C   X   -   -  -                     
    860 Ursina            -          M      7G  M0 7I -   -  -      -   -   -   X   s   -   -   -   -  -                     
    862 Franzia           -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    863 Benkoela          -          A      7G  A0 7I A   2G A      65  -   -   A   s   -   -   A   a  -                     
    864 Aase              -          S      7   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    866 Fatme             -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    868 Lova              -          C:     2   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    869 Mellena           -          -      -   -  -  -   -  -      -   -   -   -   -   C   C   -   -  -                     
    870 Manto             -          -      -   -  -  -   -  -      -   -   -   S   s   S   S   -   -  -                     
    872 Holda             -          M      2G  -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    873 Mechthild         -          PC     7G  C0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    874 Rotraut           -          -      -   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    876 Scott             -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    877 Walkure           -          F      7G  C0 7I F   2I -      -   -   -   -   -   -   -   -   -  -                     
    879 Ricarda           -          -      -   -  -  -   -  -      -   S   s   -   -   -   -   -   -  -                     
    880 Herba             -          F      7   C0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    881 Athene            -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    882 Swetlana          -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    883 Matterania        -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    884 Priamus           -          D      7G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    886 Washingtonia      -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    887 Alinda            -          S      7G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    888 Parysatis         -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    889 Erynia            -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    890 Waltraut          -          CTGU:  2G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    891 Gunhild           -          -      -   -  -  -   -  -      -   -   -   -   -   D   T   -   -  -                     
    892 Seeligeria        -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    893 Leopoldina        -          XF     2   -  -  -   -  -      -   -   -   -   -   C   C   -   -  -                     
    894 Erda              -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    895 Helio             -          FCB    S   -  -  -   -  -      -   -   -   B   s   -   -   -   -  -                     
    897 Lysistrata        -          S      7G  S0 7I -   -  -      -   -   -   Sl  s   S   L   -   -  -                     
    898 Hildegard         -          -      -   -  -  -   -  -      -   -   -   Sl  s   -   -   -   -  -                     
    899 Jokaste           -          XB     2   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    900 Rosalinde         -          -      -   -  -  -   -  -      -   SD  s   -   -   -   -   -   -  -                     
    901 Brunsia           -          S      7   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    904 Rockefellia       -          -      -   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    905 Universitas       -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    906 Repsolda          -          -      -   -  -  -   -  -      -   -   -   -   -   K   K   -   -  -                     
    907 Rhoda             -          C      7   C0 7I C   2I -      -   -   -   Xk  s   -   -   -   -  -                     
    908 Buda              -          -      -   -  -  -   -  -      -   -   -   L   s   -   -   D   a  -                     
    909 Ulla              -          X      7   C0 7I C   2I -      -   -   -   -   -   -   -   -   -  -                     
    910 Anneliese         -          -      -   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    911 Agamemnon         -          D      2G  -  -  -   -  -      -   -   -   -   -   D   D   -   -  -                     
    912 Maritima          -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    913 Otila             -          -      -   -  -  -   -  -      -   -   -   Sa  s   -   -   Sw  a  -                     
    914 Palisana          -          CU     7   D3 7I T   2I -      -   -   -   -   -   Caa Ch  -   -  -                     
    915 Cosette           -          -      -   -  -  -   -  -      -   S   s   -   -   -   -   -   -  -                     
    917 Lyka              -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    918 Itha              -          -      -   -  -  -   -  -      -   S   s   -   -   -   -   -   -  -                     
    919 Ilsebill          -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    920 Rogeria           -          DTU    2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    921 Jovita            -          -      -   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    923 Herluga           -          -      -   -  -  -   -  -      -   -   -   -   -   C   C   -   -  -                     
    924 Toni              -          CX     2   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    925 Alphonsina        -          S      7   S0 7I S   2I -      -   -   -   S   s   -   -   S   a  -                     
    927 Ratisbona         -          CB:    2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    928 Hildrun           -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    929 Algunde           -          -      -   -  -  -   -  -      -   -   -   S   s   S   Sl  S   a  -                     
    930 Westphalia        -          -      -   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    931 Whittemora        -          M      7G  M0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    932 Hooveria          -          CB     2   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
    934 Thuringia         -          -      -   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
    936 Kunigunde         -          -      -   -  -  -   -  -      -   -   -   -   -   B   B   -   -  -                     
    937 Bethgea           -          S      7   S2 7I r   2I -      -   -   -   -   -   -   -   -   -  -                     
    939 Isberga           -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    940 Kordula           -          FC:    2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    941 Murray            -          CX     2   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    943 Begonia           -          ST     2   -  -  -   -  -      -   -   -   -   -   X   Ch  -   -  -                     
    944 Hidalgo           -          D      2   -  -  -   -  -      -   -   -   -   -   -   -   D   e  -                     
    945 Barcelona         -          S      7   S0 7I -   -  -      -   -   -   Sq  s   -   -   -   -  -                     
    946 Poesia            -          FU     7G  C0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    947 Monterosa         -          -      -   -  -  -   -  -      -   -   -   -   -   S   S   -   -  -                     
    949 Hel               -          -      -   -  -  -   -  -      -   -   -   -   -   X   Xk  -   -  -                     
    950 Ahrensa           -          -      -   -  -  -   -  -      -   -   -   Sa  s   S   S   -   -  -                     
    951 Gaspra            -          S      7   S0 7I -   -  -      -   -   -   S   s   -   -   -   -  -                     
    952 Caia              -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    953 Painleva          -          -      -   -  -  -   -  -      -   -   -   -   -   S   S   -   -  -                     
    954 Li                -          FCX    2   -  -  -   -  -      -   -   -   -   -   C   Cb  -   -  -                     
    955 Alstede           -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    956 Elisa             -          -      -   -  -  -   -  -      -   -   -   -   -   V   V   -   -  -                     
    957 Camelia           -          -      -   -  -  -   -  -      -   -   -   -   -   C   Cb  -   -  -                     
    958 Asplinda          -          ***    6G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    961 Gunnie            -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    962 Aslog             -          S      7G  S0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    963 Iduberga          -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    965 Angelica          -          -      -   -  -  -   -  -      -   -   -   Xc  s   -   -   -   -  -                     
    966 Muschi            -          S      2   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    968 Petunia           -          S      2   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
    969 Leocadia          -          FXU:   7   B2 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    970 Primula           -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    971 Alsatia           -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
    972 Cohnia            -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    973 Aralia            -          -      -   -  -  -   -  -      -   -   -   Xk  s   X   X   -   -  -                     
    974 Lioba             -          S      7   S0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    975 Perseverantia     -          S      2G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    976 Benjamina         -          XD:    2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    977 Philippa          -          C      2   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    978 Aidamina          -          PF     2G  -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
    979 Ilsewa            -          -      -   -  -  -   -  -      -   -   -   -   -   T   T   -   -  -                     
    980 Anacostia         -          SU     7G  S3 7I S   2I T      65  -   -   L   s   -   -   -   -  -                     
    981 Martina           -          CFU:   2   -  -  -   -  -      -   -   -   -   -   B   B   -   -  -                     
    982 Franklina         -          -      -   -  -  -   -  -      -   -   -   -   -   A   Ld  -   -  -                     
    983 Gunila            -          XD     2   -  -  -   -  -      -   -   -   -   -   X   Xk  -   -  -                     
    984 Gretia            -          -      -   -  -  -   -  -      -   -   -   Sr  s   -   -   Sa  a  -                     
    985 Rosina            -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   S   a  -                     
    986 Amelia            -          -      -   -  -  -   -  -      -   -   -   -   -   T   T   -   -  -                     
    987 Wallia            -          -      -   -  -  -   -  -      -   -   -   -   -   D   T   -   -  -                     
    988 Appella           -          -      -   -  -  -   -  -      -   -   -   -   -   B   Cb  -   -  -                     
    989 Schwassmannia     -          -      -   -  -  -   -  -      -   -   -   -   -   S   T   -   -  -                     
    991 McDonalda         -          C:     2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    994 Otthild           -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    996 Hilaritas         -          B      7G  C0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
    997 Priska            -          -      -   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
   1000 Piazzia           -          -      -   -  -  -   -  -      -   -   -   -   -   C   Cb  -   -  -                     
   1001 Gaussia           -          PC     7G  C0 7I C   2I -      -   -   -   -   -   -   -   -   -  -                     
   1003 Lilofee           -          -      -   -  -  -   -  -      -   -   -   -   -   B   B   -   -  -                     
   1004 Belopolskya       -          PC     2G  -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
   1005 Arago             -          -      -   -  -  -   -  -      -   -   -   -   -   X   Xk  -   -  -                     
   1006 Lagrangea         -          -      -   -  -  -   -  -      -   -   -   -   -   D   T   -   -  -                     
   1007 Pawlowia          -          -      -   -  -  -   -  -      -   -   -   K   s   -   -   -   -  -                     
   1011 Laodamia          -          S      2G  -  -  -   -  -      -   -   -   Sr  s   -   -   Sw  a  -                     
   1012 Sarema            -          F      4G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1013 Tombecka          -          XSC    2   -  -  -   -  -      -   -   -   -   -   X   Xk  -   -  -                     
   1014 Semphyra          -          -      -   -  -  -   -  -      -   -   -   Xe  s   -   -   -   -  -                     
   1015 Christa           -          C      2   -  -  -   -  -      -   -   -   Xc  s   -   -   -   -  -                     
   1016 Anitra            -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1017 Jacqueline        -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
   1018 Arnolda           -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sk  -   -  -                     
   1019 Strackea          -          S      7   S2 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1020 Arcadia           -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   Sr  a  -                     
   1021 Flammario         -          F      7   C0 7I FC  2I -      -   -   -   B   s   C   Cb  -   -  -                     
   1022 Olympiada         -          -      -   -  -  -   -  -      -   -   -   X   s   X   X   -   -  -                     
   1023 Thomana           -          G      2G  -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
   1024 Hale              -          -      -   -  -  -   -  -      -   -   -   Ch  s   Caa X   -   -  -                     
   1025 Riema             -          E      7G  -  -  -   -  -      -   -   -   Xe  s   X   Xe  -   -  -                     
   1028 Lydina            -          C      7   C0 7I C   2I -      -   -   -   -   -   C   C   -   -  -                     
   1029 La Plata          -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1030 Vitja             -          -      -   -  -  -   -  -      -   -   -   -   -   X   X   -   -  -                     
   1031 Arctica           -          CX:    2   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
   1032 Pafuri            -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
   1034 Mozartia          -          -      -   -  -  -   -  -      -   -   -   S   s   S   Sl  -   -  -                     
   1035 Amata             -          -      -   -  -  -   -  -      -   -   -   -   -   B   B   -   -  -                     
   1036 Ganymed           -          S      7G  S0 7I -   -  Sp     65  -   -   S   s   S   S   S   a  -                     
   1038 Tuckia            -          DTU:   7G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1039 Sonneberga        -          -      -   -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
   1041 Asta              -          -      -   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
   1042 Amazone           -          -      -   -  -  -   -  -      -   -   -   -   -   Caa X   -   -  -                     
   1043 Beate             -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1045 Michela           -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1046 Edwin             -          -      -   -  -  -   -  -      -   -   -   Xe  s   -   -   -   -  -                     
   1047 Geisha            -          S      7   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1048 Feodosia          -          XC     2   -  -  -   -  -      -   -   -   Ch  s   -   -   -   -  -                     
   1050 Meta              -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
   1051 Merope            -          -      -   -  -  -   -  -      -   -   -   -   -   X   Xc  -   -  -                     
   1052 Belgica           -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1055 Tynka             -          S      S   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1056 Azalea            -          -      -   -  -  -   -  -      -   -   -   S   s   S   Sl  -   -  -                     
   1057 Wanda             -          -      -   -  -  -   -  -      -   -   -   -   -   Caa Ch  -   -  -                     
   1058 Grubba            -          S      S   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1060 Magnolia          -          -      -   -  -  -   -  -      -   -   -   -   -   S   S   -   -  -                     
   1061 Paeonia           -          C      7   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1063 Aquilegia         -          -      -   -  -  -   -  -      -   X   s   -   -   -   -   -   -  -                     
   1065 Amundsenia        -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   S   a  -                     
   1067 Lunaria           -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sl  -   -  -                     
   1069 Planckia          -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1071 Brita             -          -      -   -  -  -   -  -      -   X   s   Xk  s   -   -   -   -  -                     
   1075 Helina            -          SU     2G  -  -  -   -  -      -   -   -   -   -   K   Xc  -   -  -                     
   1076 Viola             -          F      7G  B1 7I -   -  -      -   -   -   C   s   -   -   -   -  -                     
   1077 Campanula         -          -      -   -  -  -   -  -      -   -   -   -   -   S   Sq  -   -  -                     
   1078 Mentha            -          S      7   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1079 Mimosa            -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1080 Orchis            -          F      7   B1 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1082 Pirola            -          C      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1084 Tamariwa          -          -      -   -  -  -   -  -      -   C   s   -   -   -   -   -   -  -                     
   1086 Nata              -          -      -   -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
   1087 Arabis            -          S      7G  S0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1088 Mitaka            -          S      7   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1089 Tama              -          -      -   -  -  -   -  -      -   -   -   -   -   S   S   -   -  -                     
   1090 Sumida            -          -      -   -  -  -   -  -      -   -   -   -   -   T   T   -   -  -                     
   1093 Freda             -          C      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1094 Siberia           -          -      -   -  -  -   -  -      -   -   -   Xk  s   T   T   Xk  a  -                     
   1095 Tulipa            -          -      -   -  -  -   -  -      -   -   -   -   -   K   T   -   -  -                     
   1097 Vicia             -          -      -   -  -  -   -  -      -   -   -   -   -   C   B   -   -  -                     
   1098 Hakone            -          -      -   -  -  -   -  -      -   -   -   Xe  s   -   -   -   -  -                     
   1099 Figneria          -          -      -   -  -  -   -  -      -   -   -   -   -   S   L   -   -  -                     
   1101 Clematis          -          -      -   -  -  -   -  -      -   -   -   -   -   B   B   -   -  -                     
   1102 Pepita            -          C      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1103 Sequoia           -          E      7G  -  -  E   2G -      -   -   -   Xk  s   -   -   -   -  -                     
   1104 Syringa           -          -      -   -  -  -   -  -      -   -   -   Xk  s   -   -   -   -  -                     
   1105 Fragaria          -          ST     7   S0 7I -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1106 Cydonia           -          -      -   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
   1107 Lictoria          -          -      -   -  -  -   -  -      -   -   -   Xc  s   -   -   -   -  -                     
   1108 Demeter           -          CX     7   -  -  -   -  -      -   -   -   -   -   C   C   -   -  -                     
   1109 Tata              -          FC     2   -  -  -   -  -      -   -   -   -   -   D   X   -   -  -                     
   1110 Jaroslawa         -          -      -   -  -  -   -  -      -   S   s   S   s   -   -   -   -  -                     
   1111 Reinmuthia        -          FXU:   1   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1112 Polonia           -          S      2G  -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
   1114 Lorraine          -          -      -   -  -  -   -  -      -   -   -   Xc  s   X   X   -   -  -                     
