     56 Melete            -          P      7G  C0 7I l   2I -      -   -   -   Xk  s   X   X   Xk  a  -                     
     57 Mnemosyne         -          S      7   S0 7I S   2I Sp     65  -   -   S   s   S   S   S   a  -                     
     58 Concordia         -          C      7   C0 7I C   2I -      -   -   -   Ch  s   Caa Cgh Ch  a  -                     
     59 Elpis             -          CP     7G  C0 7I C   2I Cx     65  -   -   B   s   -   -   -   -  -                     
     60 Echo              -          S      7G  S0 7I S   2I -      -   -   -   S   s   -   -   -   -  -                     
     61 Danae             -          S      7G  S0 7I S   2I -      -   -   -   S   s   -   -   S   a  -                     
     62 Erato             -          BU     7G  B3 7I C?  2I -      -   -   -   Ch  s   B   B   -   -  -                     
     63 Ausonia           -          S      7G  S0 7I S   2I So     65  -   -   Sa  s   -   -   Sw  a  -                     
     64 Angelina          -          E      7G  -  -  E   2G E      65  -   -   Xe  s   -   -   Xe  a  -                     
     65 Cybele            -          P      7G  C0 7I C   2I P      65  -   -   Xc  s   C   C   Xk  a  -                     
     66 Maja              -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   Ch  a  -                     
     67 Asia              -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   -   -   S   a  -                     
     68 Leto              -          S      7G  S0 7I S   2I S      65  -   -   -   -   S   S   -   -  -                     
     69 Hesperia          -          M      7G  M0 7I M   2I M      65  -   -   X   s   -   -   Xk  a  -                     
     70 Panopaea          -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   Cgh a  -                     
     71 Niobe             -          S      7   S0 7I S   2I -      -   -   -   Xe  s   -   -   -   -  -                     
     72 Feronia           -          TDG    2G  -  -  -   -  -      -   STD s   -   -   -   -   -   -  -                     
     73 Klytia            -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   S   b,c-                     
     74 Galatea           -          C      2   -  -  -   -  -      -   -   -   C   s   -   -   -   -  -                     
     75 Eurydike          -          M      7G  M0 7I M   2I -      -   -   -   Xk  s   -   -   -   -  -                     
     76 Freia             -          P      7G  C0 7I CP  2I P      65  -   -   X   s   -   -   C   a  -                     
     77 Frigga            -          MU     7G  D2 7I M?  2I -      -   -   -   Xe  s   -   -   Xe  a  -                     
     78 Diana             -          C      7   C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  Ch  a  -                     
     79 Eurynome          -          S      7G  S0 7I S   2I -      -   -   -   S   s   -   -   -   -  -                     
     80 Sappho            -          S      7G  S0 7I S   2I So     65  -   -   S   s   -   -   -   -  -                     
     81 Terpsichore       -          C      7   C0 7I C   2I -      -   -   -   Cb  s   -   -   -   -  -                     
     82 Alkmene           -          S      7G  S0 7I S   2I Sp     65  -   -   Sq  s   -   -   S   a  -                     
     83 Beatrix           -          X      7   M0 7I l   2I -      -   -   -   X   s   -   -   -   -  -                     
     84 Klio              -          G      2G  -  -  -   -  -      -   -   -   Ch  s   Caa Ch  Ch  a  -                     
     85 Io                -          FC     7G  C0 7I C   2I -      -   -   -   B   s   C   Cb  C   a  -                     
     86 Semele            -          C      7   C0 7I C   2I CvP    65  -   -   -   -   -   -   -   -  -                     
     87 Sylvia            -          P      7G  C0 7I PC  2I -      -   -   -   X   s   X   X   X   a  -                     
     88 Thisbe            -          CF     7G  -  -  -   -  -      -   -   -   B   s   -   -   -   -  -                     
     89 Julia             -          S      7G  S0 7I S   2I S      65  -   -   K   s   S   Ld  -   -  -                     
     90 Antiope           -          C      7G  C0 7I C   2I -      -   -   -   C   s   Caa Ch  C   a  -                     
     91 Aegina            -          CP     2G  -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
     92 Undina            -          X      7   M0 7I M   2I M      65  -   -   Xc  s   -   -   Xk  a  -                     
     93 Minerva           -          CU     7G  B3 7I C?  2I -      -   -   -   C   s   C   Cb  C   a  -                     
     94 Aurora            -          CP     7G  C0 7I C   2I -      -   -   -   C   s   -   -   -   -  -                     
     95 Arethusa          -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  -   -  -                     
     96 Aegle             -          T      2   -  -  -   -  T      65  -   -   T   s   -   -   T   a  -                     
     97 Klotho            -          M      7G  M0 7I M   2I -      -   -   -   -   -   -   -   Xc  a  -                     
     98 Ianthe            -          CG     7   C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  -   -  -                     
     99 Dike              -          C      7   -  -  -   -  -      -   -   -   Xk  s   -   -   Xk  a  -                     
    100 Hekate            -          S      2   -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    101 Helena            -          S      7G  S0 7I S   2I Sp     65  -   -   S   s   -   -   S   a  -                     
    102 Miriam            -          P      7G  D2 7I l   2I -      -   -   -   C   s   -   -   -   -  -                     
    103 Hera              -          S      7G  S0 7I S   2I SSp    65  -   -   S   s   -   -   S   a  -                     
    104 Klymene           -          C      7   C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    105 Artemis           -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  Ch  a  -                     
    106 Dione             -          G      7G  G0 7I G   2I Cv     65  -   -   Cgh s   Caa Cgh Cgh a  -                     
    107 Camilla           -          C      7G  C0 7I C   2I -      -   -   -   X   s   X   X   -   -  -                     
    108 Hecuba            -          S      7G  S0 7I S   2I -      -   -   -   Sl  s   -   -   Sw  a  -                     
    109 Felicitas         -          GC     7G  C0 7I C   2I -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    110 Lydia             -          M      7G  M0 7I M   2I -      -   -   -   X   s   -   -   Xk  a  -                     
    111 Ate               -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   Ch  a  -                     
    112 Iphigenia         -          DCX    2   -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    113 Amalthea          -          S      7G  S2 7I S   2I So     65  -   -   S   s   -   -   -   -  -                     
    114 Kassandra         -          T      7   D3 7I T   2I T      65  -   -   Xk  s   -   -   K   a  -                     
    115 Thyra             -          S      7G  S1 7I -   -  Sp     65  -   -   S   s   S   K   S   a  -                     
    116 Sirona            -          S      7G  S0 7I S   2I Sp     65  -   -   Sk  s   -   -   -   -  -                     
    117 Lomia             -          XC     7   C0 7I C   2I -      -   -   -   X   s   X   X   -   -  -                     
    118 Peitho            -          S      7   S0 7I S   2I -      -   -   -   S   s   -   -   -   -  -                     
    119 Althaea           -          S      7G  S2 7I S   2I -      -   -   -   Sl  s   A   Ld  S   a  -                     
    120 Lachesis          -          C      7G  C0 7I C   2I -      -   -   -   C   s   -   -   -   -  -                     
    121 Hermione          -          C      7G  C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    122 Gerda             -          ST     2   -  -  -   -  -      -   -   -   L   s   -   -   -   -  -                     
    123 Brunhild          -          S      2G  -  -  -   -  -      -   -   -   S   s   -   -   -   -  -                     
    124 Alkeste           -          S      7G  S0 7I S   2I -      -   -   -   S   s   -   -   -   -  -                     
    125 Liberatrix        -          M      7G  M0 7I M   2I -      -   -   -   X   s   -   -   -   -  -                     
    126 Velleda           -          S      2   -  -  -   -  -      -   -   -   -   -   -   -   -   -  -                     
    127 Johanna           -          CX     2   -  -  -   -  -      -   -   -   Ch  s   Caa Ch  -   -  -                     
    128 Nemesis           -          C      7G  C0 7I C   2I -      -   CX  s   C   s   -   -   C   a  -                     
    129 Antigone          -          M      2G  -  -  -   -  -      -   -   -   X   s   -   -   -   -  -                     
    130 Elektra           -          G      7G  G0 7I G   2I Cx     65  -   -   Ch  s   Caa Ch  Ch  a  -                     
    131 Vala              -          SU     7G  S1 7I KCT 2I -      -   CX  s   Xc  s   -   -   K   a  -                     
    132 Aethra            -          M      7G  M0 7I M?  2I -      -   -   -   Xe  s   -   -   Xe  a  -                     
    133 Cyrene            -          SR     2   -  -  -   -  -      -   -   -   S   s   S   S   S   a  -                     
    134 Sophrosyne        -          C      7   C0 7I C   2I -      -   -   -   Ch  s   -   -   -   -  -                     
    135 Hertha            -          M      7G  M0 7I M   2I M,T    65  -   -   Xk  s   -   -   -   -  -                     
    136 Austria           -          M      2G  -  -  -   -  -      -   -   -   Xe  s   -   -   -   -  -                     
